src	dest	type	weight
Quality of food source	Regulatory compliance	∧	1
Quality of food source	Regulatory compliance	→	1
Quality of food source	Regulatory compliance	∨	0
Quality of food source	prioritizes public health	∧	0
Quality of food source	prioritizes public health	→	1
Quality of food source	prioritizes public health	∨	0
Safety	skilled	∧	8
Safety	skilled	→	0
Safety	skilled	∨	0
Safety	Fosters economic growth and prosperity	∧	1
Safety	Fosters economic growth and prosperity	→	0
Safety	Fosters economic growth and prosperity	∨	0
Safety	supports gender equality	∧	1
Safety	supports gender equality	→	0
Safety	supports gender equality	∨	0
Safety	Safety	∧	12
Safety	Safety	→	45
Safety	Safety	∨	0
Safety	promotes equality and accessibility for all	∧	1
Safety	promotes equality and accessibility for all	→	0
Safety	promotes equality and accessibility for all	∨	0
Safety	Offers competitive wages and treats workers with respect	∧	2
Safety	Offers competitive wages and treats workers with respect	→	1
Safety	Offers competitive wages and treats workers with respect	∨	0
Safety	financial	∧	5
Safety	financial	→	0
Safety	financial	∨	0
Safety	Ethical	∧	5
Safety	Ethical	→	1
Safety	Ethical	∨	0
Safety	Age	∧	12
Safety	Age	→	0
Safety	Age	∨	2
Safety	Negative impact on mental, physical, or emotional well-being	∧	3
Safety	Negative impact on mental, physical, or emotional well-being	→	0
Safety	Negative impact on mental, physical, or emotional well-being	∨	1
Safety	Unethical behavior	∧	6
Safety	Unethical behavior	→	1
Safety	Unethical behavior	∨	0
Safety	Provides fair and livable wages for employees	∧	1
Safety	Provides fair and livable wages for employees	→	0
Safety	Provides fair and livable wages for employees	∨	0
Safety	Does not prioritize patient well-being	∧	1
Safety	Does not prioritize patient well-being	→	0
Safety	Does not prioritize patient well-being	∨	0
Safety	Living wage	∧	2
Safety	Living wage	→	0
Safety	Living wage	∨	0
Safety	Financial support	∧	2
Safety	Financial support	→	0
Safety	Financial support	∨	0
Safety	Cost efficiency	∧	1
Safety	Cost efficiency	→	0
Safety	Cost efficiency	∨	0
Safety	appealing to both locals and tourists	∧	2
Safety	appealing to both locals and tourists	→	0
Safety	appealing to both locals and tourists	∨	0
Safety	Accessible to the general public	∧	1
Safety	Accessible to the general public	→	0
Safety	Accessible to the general public	∨	0
Safety	does not promote violence	∧	3
Safety	does not promote violence	→	0
Safety	does not promote violence	∨	0
Safety	Inappropriate	∧	1
Safety	Inappropriate	→	0
Safety	Inappropriate	∨	0
Safety	conformity to established rules or standards	∧	6
Safety	conformity to established rules or standards	→	0
Safety	conformity to established rules or standards	∨	0
Safety	Fair and impartial application of laws	∧	5
Safety	Fair and impartial application of laws	→	0
Safety	Fair and impartial application of laws	∨	0
Safety	Lack of sustainability	∧	2
Safety	Lack of sustainability	→	0
Safety	Lack of sustainability	∨	0
Safety	Promotes controversial beliefs	∧	1
Safety	Promotes controversial beliefs	→	0
Safety	Promotes controversial beliefs	∨	0
Safety	No direct relation to legal regulations	∧	1
Safety	No direct relation to legal regulations	→	0
Safety	No direct relation to legal regulations	∨	0
Safety	Not promoting hate or discrimination	∧	1
Safety	Not promoting hate or discrimination	→	0
Safety	Not promoting hate or discrimination	∨	0
Safety	Educational institutions	∧	2
Safety	Educational institutions	→	0
Safety	Educational institutions	∨	0
Safety	Involves financial transactions	∧	3
Safety	Involves financial transactions	→	2
Safety	Involves financial transactions	∨	0
Safety	Not taking action to address social issues	∧	3
Safety	Not taking action to address social issues	→	0
Safety	Not taking action to address social issues	∨	0
Safety	Birthright citizenship	∧	1
Safety	Birthright citizenship	→	1
Safety	Birthright citizenship	∨	0
Safety	Family values	∧	2
Safety	Family values	→	0
Safety	Family values	∨	0
Safety	Child-centered parenting	∧	1
Safety	Child-centered parenting	→	0
Safety	Child-centered parenting	∨	0
Safety	Employment status	∧	1
Safety	Employment status	→	0
Safety	Employment status	∨	0
Safety	Lack of functionality	∧	1
Safety	Lack of functionality	→	0
Safety	Lack of functionality	∨	0
Safety	Exposes workers to harmful substances	∧	1
Safety	Exposes workers to harmful substances	→	0
Safety	Exposes workers to harmful substances	∨	0
Safety	Inflicts suffering	∧	3
Safety	Inflicts suffering	→	0
Safety	Inflicts suffering	∨	0
Safety	Financial stability	∧	1
Safety	Financial stability	→	0
Safety	Financial stability	∨	0
Safety	Ensures fair labor practices	∧	1
Safety	Ensures fair labor practices	→	0
Safety	Ensures fair labor practices	∨	0
Safety	Relevant	∧	3
Safety	Relevant	→	0
Safety	Relevant	∨	0
Safety	Preference for private education	∧	1
Safety	Preference for private education	→	0
Safety	Preference for private education	∨	0
Safety	Opposes government intervention and promotes individual freedom and rights	∧	1
Safety	Opposes government intervention and promotes individual freedom and rights	→	0
Safety	Opposes government intervention and promotes individual freedom and rights	∨	0
Safety	Pursues financial gain	∧	1
Safety	Pursues financial gain	→	0
Safety	Pursues financial gain	∨	0
Safety	relevance	∧	9
Safety	relevance	→	1
Safety	relevance	∨	0
Safety	Multilingual fluency	∧	1
Safety	Multilingual fluency	→	0
Safety	Multilingual fluency	∨	2
Safety	sustainability	∧	13
Safety	sustainability	→	2
Safety	sustainability	∨	2
Safety	Addresses economic inequality	∧	1
Safety	Addresses economic inequality	→	0
Safety	Addresses economic inequality	∨	0
Safety	International stability and peace	∧	1
Safety	International stability and peace	→	2
Safety	International stability and peace	∨	0
Safety	Immigration Status	∧	2
Safety	Immigration Status	→	0
Safety	Immigration Status	∨	1
Safety	Upholds ethical and legal standards	∧	0
Safety	Upholds ethical and legal standards	→	1
Safety	Upholds ethical and legal standards	∨	1
Safety	Political Alignment	∧	1
Safety	Political Alignment	→	0
Safety	Political Alignment	∨	2
Safety	Balancing career and family	∧	2
Safety	Balancing career and family	→	0
Safety	Balancing career and family	∨	0
Safety	provides societal benefit	∧	4
Safety	provides societal benefit	→	1
Safety	provides societal benefit	∨	0
Safety	Supports individuals with diverse needs	∧	1
Safety	Supports individuals with diverse needs	→	0
Safety	Supports individuals with diverse needs	∨	1
Safety	Provides stable full-time employment	∧	1
Safety	Provides stable full-time employment	→	0
Safety	Provides stable full-time employment	∨	0
Safety	Decision-making	∧	4
Safety	Decision-making	→	1
Safety	Decision-making	∨	1
Safety	Nationality	∧	10
Safety	Nationality	→	0
Safety	Nationality	∨	0
Safety	Exceptional	∧	5
Safety	Exceptional	→	4
Safety	Exceptional	∨	0
Safety	Fairness	∧	4
Safety	Fairness	→	40
Safety	Fairness	∨	1
Promotes healthy and sustainable lifestyle choices	Quality of food source	∧	1
Promotes healthy and sustainable lifestyle choices	Quality of food source	→	0
Promotes healthy and sustainable lifestyle choices	Quality of food source	∨	0
Promotes healthy and sustainable lifestyle choices	Safety	∧	0
Promotes healthy and sustainable lifestyle choices	Safety	→	13
Promotes healthy and sustainable lifestyle choices	Safety	∨	0
not negative	Threatens national security or global stability	∧	1
not negative	Threatens national security or global stability	→	0
not negative	Threatens national security or global stability	∨	0
not negative	Fairness	∧	2
not negative	Fairness	→	34
not negative	Fairness	∨	0
Threatens national security or global stability	not negative	∧	1
Threatens national security or global stability	not negative	→	0
Threatens national security or global stability	not negative	∨	0
Threatens national security or global stability	Fairness	∧	0
Threatens national security or global stability	Fairness	→	8
Threatens national security or global stability	Fairness	∨	0
Involves financial transactions	not negative	∧	0
Involves financial transactions	not negative	→	1
Involves financial transactions	not negative	∨	0
Involves financial transactions	Threatens national security or global stability	∧	0
Involves financial transactions	Threatens national security or global stability	→	1
Involves financial transactions	Threatens national security or global stability	∨	0
Involves financial transactions	Fairness	∧	1
Involves financial transactions	Fairness	→	9
Involves financial transactions	Fairness	∨	0
Financial stability	Involves financial transactions	∧	1
Financial stability	Involves financial transactions	→	4
Financial stability	Involves financial transactions	∨	0
Financial stability	not negative	∧	0
Financial stability	not negative	→	2
Financial stability	not negative	∨	0
Financial stability	Threatens national security or global stability	∧	0
Financial stability	Threatens national security or global stability	→	1
Financial stability	Threatens national security or global stability	∨	0
Financial stability	Fairness	∧	1
Financial stability	Fairness	→	17
Financial stability	Fairness	∨	0
Financial stability	Pursues financial gain	∧	1
Financial stability	Pursues financial gain	→	3
Financial stability	Pursues financial gain	∨	1
Financial stability	Positive	∧	0
Financial stability	Positive	→	1
Financial stability	Positive	∨	0
Financial stability	promotes safety and well-being	∧	0
Financial stability	promotes safety and well-being	→	1
Financial stability	promotes safety and well-being	∨	0
Financial stability	Safety	∧	0
Financial stability	Safety	→	16
Financial stability	Safety	∨	0
Financial stability	Prioritizes safety and security	∧	0
Financial stability	Prioritizes safety and security	→	1
Financial stability	Prioritizes safety and security	∨	0
Financial stability	Does not pose a threat to international stability and security	∧	0
Financial stability	Does not pose a threat to international stability and security	→	1
Financial stability	Does not pose a threat to international stability and security	∨	0
Financial stability	Emphasizes economic prosperity and growth	∧	1
Financial stability	Emphasizes economic prosperity and growth	→	0
Financial stability	Emphasizes economic prosperity and growth	∨	1
Financial stability	Respects the law and contributes to fair competition	∧	1
Financial stability	Respects the law and contributes to fair competition	→	0
Financial stability	Respects the law and contributes to fair competition	∨	1
Financial stability	Demands perseverance	∧	1
Financial stability	Demands perseverance	→	1
Financial stability	Demands perseverance	∨	1
Financial stability	Limited negative impact on multiple aspects	∧	1
Financial stability	Limited negative impact on multiple aspects	→	0
Financial stability	Limited negative impact on multiple aspects	∨	0
Financial stability	Lack of credibility	∧	0
Financial stability	Lack of credibility	→	2
Financial stability	Lack of credibility	∨	0
Financial stability	Creates negative impact	∧	0
Financial stability	Creates negative impact	→	2
Financial stability	Creates negative impact	∨	0
Financial stability	Involvement in government and decision-making	∧	0
Financial stability	Involvement in government and decision-making	→	1
Financial stability	Involvement in government and decision-making	∨	0
Financial stability	Ownership of personal information	∧	1
Financial stability	Ownership of personal information	→	0
Financial stability	Ownership of personal information	∨	0
Financial stability	Financial support	∧	2
Financial stability	Financial support	→	0
Financial stability	Financial support	∨	0
Financial stability	conformity to established rules or standards	∧	1
Financial stability	conformity to established rules or standards	→	0
Financial stability	conformity to established rules or standards	∨	1
Financial stability	Unethical behavior	∧	2
Financial stability	Unethical behavior	→	1
Financial stability	Unethical behavior	∨	0
Financial stability	Exceptional	∧	1
Financial stability	Exceptional	→	1
Financial stability	Exceptional	∨	0
Financial stability	Potential for violent behavior	∧	1
Financial stability	Potential for violent behavior	→	0
Financial stability	Potential for violent behavior	∨	0
Financial stability	Lack of sustainability	∧	0
Financial stability	Lack of sustainability	→	1
Financial stability	Lack of sustainability	∨	0
Financial stability	Pursues personal interests	∧	0
Financial stability	Pursues personal interests	→	1
Financial stability	Pursues personal interests	∨	0
Financial stability	Wealth accumulation	∧	0
Financial stability	Wealth accumulation	→	2
Financial stability	Wealth accumulation	∨	0
Financial stability	Violates ethical standards	∧	0
Financial stability	Violates ethical standards	→	3
Financial stability	Violates ethical standards	∨	0
Financial stability	Upholds the law	∧	0
Financial stability	Upholds the law	→	1
Financial stability	Upholds the law	∨	0
Financial stability	Impact on company success and profitability	∧	2
Financial stability	Impact on company success and profitability	→	1
Financial stability	Impact on company success and profitability	∨	1
Financial stability	Supports prozac	∧	0
Financial stability	Supports prozac	→	1
Financial stability	Supports prozac	∨	0
Financial stability	Inflicts suffering	∧	0
Financial stability	Inflicts suffering	→	1
Financial stability	Inflicts suffering	∨	0
Financial stability	Reliable	∧	0
Financial stability	Reliable	→	3
Financial stability	Reliable	∨	0
Financial stability	Involves altering existing regulations or policies	∧	2
Financial stability	Involves altering existing regulations or policies	→	0
Financial stability	Involves altering existing regulations or policies	∨	1
Financial stability	Relevant	∧	4
Financial stability	Relevant	→	1
Financial stability	Relevant	∨	1
Financial stability	Income disparity	∧	4
Financial stability	Income disparity	→	0
Financial stability	Income disparity	∨	1
Financial stability	Regulatory compliance	∧	2
Financial stability	Regulatory compliance	→	0
Financial stability	Regulatory compliance	∨	0
Financial stability	Ensures safety and security	∧	1
Financial stability	Ensures safety and security	→	0
Financial stability	Ensures safety and security	∨	0
Financial stability	criminal behavior	∧	1
Financial stability	criminal behavior	→	0
Financial stability	criminal behavior	∨	0
Financial stability	should be evaluated based on social impact	∧	1
Financial stability	should be evaluated based on social impact	→	2
Financial stability	should be evaluated based on social impact	∨	0
Financial stability	Ensures safety and respect for personal and professional boundaries	∧	0
Financial stability	Ensures safety and respect for personal and professional boundaries	→	1
Financial stability	Ensures safety and respect for personal and professional boundaries	∨	0
Financial stability	Legal repercussions	∧	2
Financial stability	Legal repercussions	→	0
Financial stability	Legal repercussions	∨	0
Financial stability	Political Affiliation	∧	1
Financial stability	Political Affiliation	→	0
Financial stability	Political Affiliation	∨	0
Financial stability	Financial stability	∧	6
Financial stability	Financial stability	→	4
Financial stability	Financial stability	∨	0
Fairness	Family values	∧	1
Fairness	Family values	→	0
Fairness	Family values	∨	0
Fairness	Balancing career and family	∧	2
Fairness	Balancing career and family	→	0
Fairness	Balancing career and family	∨	0
Fairness	overall positive impact	∧	3
Fairness	overall positive impact	→	0
Fairness	overall positive impact	∨	0
Fairness	Unbiased analysis	∧	2
Fairness	Unbiased analysis	→	0
Fairness	Unbiased analysis	∨	0
Positive	promotes safety and well-being	∧	1
Positive	promotes safety and well-being	→	0
Positive	promotes safety and well-being	∨	1
Positive	Safety	∧	6
Positive	Safety	→	21
Positive	Safety	∨	0
Positive	involves y ['x , middle east']	∧	1
Positive	involves y ['x , middle east']	→	0
Positive	involves y ['x , middle east']	∨	0
Positive	Fairness	∧	1
Positive	Fairness	→	67
Positive	Fairness	∨	0
Positive	Not specific to a particular topic	∧	2
Positive	Not specific to a particular topic	→	0
Positive	Not specific to a particular topic	∨	1
Positive	Reliable	∧	6
Positive	Reliable	→	2
Positive	Reliable	∨	0
Positive	Age	∧	10
Positive	Age	→	0
Positive	Age	∨	0
promotes safety and well-being	Positive	∧	1
promotes safety and well-being	Positive	→	0
promotes safety and well-being	Positive	∨	1
promotes safety and well-being	Safety	∧	0
promotes safety and well-being	Safety	→	16
promotes safety and well-being	Safety	∨	0
Pursues financial gain	Positive	∧	1
Pursues financial gain	Positive	→	1
Pursues financial gain	Positive	∨	0
Pursues financial gain	promotes safety and well-being	∧	0
Pursues financial gain	promotes safety and well-being	→	1
Pursues financial gain	promotes safety and well-being	∨	0
Pursues financial gain	Safety	∧	1
Pursues financial gain	Safety	→	13
Pursues financial gain	Safety	∨	0
Prioritizes safety and security	Safety	∧	7
Prioritizes safety and security	Safety	→	11
Prioritizes safety and security	Safety	∨	0
Prioritizes safety and security	Fairness	∧	2
Prioritizes safety and security	Fairness	→	30
Prioritizes safety and security	Fairness	∨	0
Safety	Prioritizes safety and security	∧	7
Safety	Prioritizes safety and security	→	0
Safety	Prioritizes safety and security	∨	0
Safety	Does not pose a threat to international stability and security	∧	1
Safety	Does not pose a threat to international stability and security	→	0
Safety	Does not pose a threat to international stability and security	∨	0
Safety	High level of productivity	∧	1
Safety	High level of productivity	→	0
Safety	High level of productivity	∨	0
Safety	Violates Palestinian rights	∧	1
Safety	Violates Palestinian rights	→	0
Safety	Violates Palestinian rights	∨	0
Safety	Impact on society	∧	0
Safety	Impact on society	→	1
Safety	Impact on society	∨	0
Does not pose a threat to international stability and security	Safety	∧	1
Does not pose a threat to international stability and security	Safety	→	1
Does not pose a threat to international stability and security	Safety	∨	0
Does not pose a threat to international stability and security	Fairness	∧	0
Does not pose a threat to international stability and security	Fairness	→	17
Does not pose a threat to international stability and security	Fairness	∨	0
Fairness	Fairness	∧	8
Fairness	Fairness	→	37
Fairness	Fairness	∨	0
Fairness	not mentioned	∧	3
Fairness	not mentioned	→	0
Fairness	not mentioned	∨	0
Fairness	conformity to established rules or standards	∧	3
Fairness	conformity to established rules or standards	→	0
Fairness	conformity to established rules or standards	∨	0
Fairness	Vaccination status	∧	3
Fairness	Vaccination status	→	0
Fairness	Vaccination status	∨	0
Fairness	Ethical	∧	2
Fairness	Ethical	→	1
Fairness	Ethical	∨	0
Fairness	Middle Eastern conflict	∧	2
Fairness	Middle Eastern conflict	→	0
Fairness	Middle Eastern conflict	∨	0
Fairness	Political Affiliation	∧	2
Fairness	Political Affiliation	→	1
Fairness	Political Affiliation	∨	1
Fairness	Not affiliated with any specific belief system or political ideology	∧	0
Fairness	Not affiliated with any specific belief system or political ideology	→	0
Fairness	Not affiliated with any specific belief system or political ideology	∨	1
Fairness	Pursues financial gain	∧	1
Fairness	Pursues financial gain	→	0
Fairness	Pursues financial gain	∨	0
Fairness	Promotes social and economic equality	∧	1
Fairness	Promotes social and economic equality	→	0
Fairness	Promotes social and economic equality	∨	0
Fairness	Regulatory compliance	∧	3
Fairness	Regulatory compliance	→	0
Fairness	Regulatory compliance	∨	0
Fairness	Legal compliance	∧	2
Fairness	Legal compliance	→	0
Fairness	Legal compliance	∨	0
Discrimination based on social status	Impact on public safety and crime prevention: _	∧	2
Discrimination based on social status	Impact on public safety and crime prevention: _	→	0
Discrimination based on social status	Impact on public safety and crime prevention: _	∨	0
Discrimination based on social status	Fair and impartial application of laws	∧	0
Discrimination based on social status	Fair and impartial application of laws	→	2
Discrimination based on social status	Fair and impartial application of laws	∨	0
Discrimination based on social status	Positive	∧	1
Discrimination based on social status	Positive	→	2
Discrimination based on social status	Positive	∨	0
Discrimination based on social status	Fairness	∧	1
Discrimination based on social status	Fairness	→	6
Discrimination based on social status	Fairness	∨	0
Discrimination based on social status	Safety	∧	0
Discrimination based on social status	Safety	→	10
Discrimination based on social status	Safety	∨	0
Discrimination based on social status	Denial of access/permission	∧	0
Discrimination based on social status	Denial of access/permission	→	1
Discrimination based on social status	Denial of access/permission	∨	0
Discrimination based on social status	Impedes access	∧	1
Discrimination based on social status	Impedes access	→	0
Discrimination based on social status	Impedes access	∨	0
Discrimination based on social status	No direct relation to legal regulations	∧	0
Discrimination based on social status	No direct relation to legal regulations	→	1
Discrimination based on social status	No direct relation to legal regulations	∨	1
Discrimination based on social status	not negative attitude	∧	1
Discrimination based on social status	not negative attitude	→	2
Discrimination based on social status	not negative attitude	∨	0
Discrimination based on social status	Community involvement	∧	1
Discrimination based on social status	Community involvement	→	0
Discrimination based on social status	Community involvement	∨	0
Discrimination based on social status	Promotes social and economic equality	∧	1
Discrimination based on social status	Promotes social and economic equality	→	0
Discrimination based on social status	Promotes social and economic equality	∨	0
Discrimination based on social status	criminal behavior	∧	1
Discrimination based on social status	criminal behavior	→	0
Discrimination based on social status	criminal behavior	∨	0
Discrimination based on social status	Lack of sustainability	∧	2
Discrimination based on social status	Lack of sustainability	→	0
Discrimination based on social status	Lack of sustainability	∨	0
Discrimination based on social status	Opposed or restricted by legal or ethical standards	∧	1
Discrimination based on social status	Opposed or restricted by legal or ethical standards	→	0
Discrimination based on social status	Opposed or restricted by legal or ethical standards	∨	0
Discrimination based on social status	Environmental impact	∧	1
Discrimination based on social status	Environmental impact	→	0
Discrimination based on social status	Environmental impact	∨	0
Discrimination based on social status	overall positive impact	∧	2
Discrimination based on social status	overall positive impact	→	1
Discrimination based on social status	overall positive impact	∨	0
Discrimination based on social status	Prioritizes safety and security	∧	1
Discrimination based on social status	Prioritizes safety and security	→	5
Discrimination based on social status	Prioritizes safety and security	∨	0
Discrimination based on social status	Medical treatment effectiveness	∧	0
Discrimination based on social status	Medical treatment effectiveness	→	1
Discrimination based on social status	Medical treatment effectiveness	∨	0
Discrimination based on social status	financial	∧	1
Discrimination based on social status	financial	→	0
Discrimination based on social status	financial	∨	0
Discrimination based on social status	Political Affiliation	∧	1
Discrimination based on social status	Political Affiliation	→	1
Discrimination based on social status	Political Affiliation	∨	0
Discrimination based on social status	sustainability	∧	0
Discrimination based on social status	sustainability	→	1
Discrimination based on social status	sustainability	∨	0
Discrimination based on social status	Substance abuse tendency	∧	1
Discrimination based on social status	Substance abuse tendency	→	1
Discrimination based on social status	Substance abuse tendency	∨	0
Discrimination based on social status	Inflicts suffering	∧	0
Discrimination based on social status	Inflicts suffering	→	1
Discrimination based on social status	Inflicts suffering	∨	0
Discrimination based on social status	Reliable	∧	2
Discrimination based on social status	Reliable	→	0
Discrimination based on social status	Reliable	∨	0
Discrimination based on social status	Upholds the law	∧	1
Discrimination based on social status	Upholds the law	→	1
Discrimination based on social status	Upholds the law	∨	0
Discrimination based on social status	Impact on society and the environment	∧	2
Discrimination based on social status	Impact on society and the environment	→	0
Discrimination based on social status	Impact on society and the environment	∨	0
Discrimination based on social status	Lack of credibility	∧	1
Discrimination based on social status	Lack of credibility	→	0
Discrimination based on social status	Lack of credibility	∨	0
Discrimination based on social status	Upholding legal and constitutional rights	∧	1
Discrimination based on social status	Upholding legal and constitutional rights	→	1
Discrimination based on social status	Upholding legal and constitutional rights	∨	0
Discrimination based on social status	Focuses on improving patient symptoms and providing effective treatment	∧	1
Discrimination based on social status	Focuses on improving patient symptoms and providing effective treatment	→	0
Discrimination based on social status	Focuses on improving patient symptoms and providing effective treatment	∨	0
Discrimination based on social status	Limited negative impact on multiple aspects	∧	1
Discrimination based on social status	Limited negative impact on multiple aspects	→	0
Discrimination based on social status	Limited negative impact on multiple aspects	∨	0
Discrimination based on social status	Wealth accumulation	∧	1
Discrimination based on social status	Wealth accumulation	→	0
Discrimination based on social status	Wealth accumulation	∨	0
Discrimination based on social status	Reduction of costs and dependencies	∧	0
Discrimination based on social status	Reduction of costs and dependencies	→	1
Discrimination based on social status	Reduction of costs and dependencies	∨	0
Discrimination based on social status	Provides credible, accurate, and data-driven information	∧	0
Discrimination based on social status	Provides credible, accurate, and data-driven information	→	1
Discrimination based on social status	Provides credible, accurate, and data-driven information	∨	0
Discrimination based on social status	Reduces harm caused by drug use	∧	0
Discrimination based on social status	Reduces harm caused by drug use	→	1
Discrimination based on social status	Reduces harm caused by drug use	∨	0
Discrimination based on social status	Decision-making	∧	1
Discrimination based on social status	Decision-making	→	1
Discrimination based on social status	Decision-making	∨	0
Discrimination based on social status	Demands perseverance	∧	0
Discrimination based on social status	Demands perseverance	→	1
Discrimination based on social status	Demands perseverance	∨	0
Discrimination based on social status	fosters mutual understanding	∧	0
Discrimination based on social status	fosters mutual understanding	→	1
Discrimination based on social status	fosters mutual understanding	∨	0
Discrimination based on social status	adherence to laws and regulations	∧	0
Discrimination based on social status	adherence to laws and regulations	→	0
Discrimination based on social status	adherence to laws and regulations	∨	1
Discrimination based on social status	promotes social equity	∧	0
Discrimination based on social status	promotes social equity	→	0
Discrimination based on social status	promotes social equity	∨	1
Discrimination based on social status	Ensures safety and security	∧	0
Discrimination based on social status	Ensures safety and security	→	0
Discrimination based on social status	Ensures safety and security	∨	1
Discrimination based on social status	Treatment of employees	∧	0
Discrimination based on social status	Treatment of employees	→	1
Discrimination based on social status	Treatment of employees	∨	0
Discrimination based on social status	conformity to established rules or standards	∧	1
Discrimination based on social status	conformity to established rules or standards	→	0
Discrimination based on social status	conformity to established rules or standards	∨	0
Impact on public safety and crime prevention: _	Discrimination based on social status	∧	2
Impact on public safety and crime prevention: _	Discrimination based on social status	→	0
Impact on public safety and crime prevention: _	Discrimination based on social status	∨	0
Impact on public safety and crime prevention: _	Fair and impartial application of laws	∧	0
Impact on public safety and crime prevention: _	Fair and impartial application of laws	→	2
Impact on public safety and crime prevention: _	Fair and impartial application of laws	∨	0
Impact on public safety and crime prevention: _	Positive	∧	0
Impact on public safety and crime prevention: _	Positive	→	1
Impact on public safety and crime prevention: _	Positive	∨	0
Impact on public safety and crime prevention: _	Fairness	∧	0
Impact on public safety and crime prevention: _	Fairness	→	9
Impact on public safety and crime prevention: _	Fairness	∨	0
Fair and impartial application of laws	Positive	∧	0
Fair and impartial application of laws	Positive	→	2
Fair and impartial application of laws	Positive	∨	0
Fair and impartial application of laws	Fairness	∧	0
Fair and impartial application of laws	Fairness	→	22
Fair and impartial application of laws	Fairness	∨	0
Fair and impartial application of laws	Discrimination based on social status	∧	1
Fair and impartial application of laws	Discrimination based on social status	→	0
Fair and impartial application of laws	Discrimination based on social status	∨	0
Fair and impartial application of laws	overall positive impact	∧	2
Fair and impartial application of laws	overall positive impact	→	1
Fair and impartial application of laws	overall positive impact	∨	1
Fair and impartial application of laws	Safety	∧	4
Fair and impartial application of laws	Safety	→	10
Fair and impartial application of laws	Safety	∨	0
Fair and impartial application of laws	Prioritizes safety and security	∧	0
Fair and impartial application of laws	Prioritizes safety and security	→	1
Fair and impartial application of laws	Prioritizes safety and security	∨	0
Fair and impartial application of laws	Medical treatment effectiveness	∧	0
Fair and impartial application of laws	Medical treatment effectiveness	→	1
Fair and impartial application of laws	Medical treatment effectiveness	∨	0
Fair and impartial application of laws	Provides overall positive impact	∧	0
Fair and impartial application of laws	Provides overall positive impact	→	1
Fair and impartial application of laws	Provides overall positive impact	∨	0
Fair and impartial application of laws	focuses on prevention and treatment	∧	0
Fair and impartial application of laws	focuses on prevention and treatment	→	1
Fair and impartial application of laws	focuses on prevention and treatment	∨	0
Fair and impartial application of laws	Decreased financial gain	∧	1
Fair and impartial application of laws	Decreased financial gain	→	0
Fair and impartial application of laws	Decreased financial gain	∨	0
Fair and impartial application of laws	Not involved in substance abuse or illegal activities	∧	1
Fair and impartial application of laws	Not involved in substance abuse or illegal activities	→	0
Fair and impartial application of laws	Not involved in substance abuse or illegal activities	∨	0
Fair and impartial application of laws	Potential for addiction and harm	∧	1
Fair and impartial application of laws	Potential for addiction and harm	→	0
Fair and impartial application of laws	Potential for addiction and harm	∨	0
